Unnamed: 0,Company_Name,Date_of_leak,Date_of_attack,Company_URL,Country1,NumViews,Industry_Type,Data_Type,Notes
0,Pine Tree Commercial Realty,publication date: 2023-03-28,added: 2023-03-17,www.pinetree.com,"  Illinois, United States",👁️ views: 40467,,"Private and personal confidential data, passports, clients information, contracts and etc. ",
0,Berga Recycling,publication date: 2023-03-28,added: 2023-03-17,www.bergarecycling.com," Quebec, Canada",👁️ views: 40480,,"Private and personal confidential data, passports, contracts and etc. ",
0,A&T group of companies,publication date: 2023-03-28,added: 2023-03-17,www.atglobalsolutions.eu,Poland,👁️ views: 40532,,"Private and personal confidential data, passports, contracts and etc. ",big company
0,Stanley Steemer,publication date: 2023-03-28,added: 2023-03-17,www.stanleysteemer.com," Ohio, United States",👁️ views: 40499,,"Private and personal confidential data, accounting, budget, tax, banking, ssn, passports, contracts and etc. ",
0,Royal Dirkzwager,publication date: 2023-03-16,added: 2023-03-13,www.dirkzwager.com,Netherlands,👁️ views: 41236,,"Private and personal confidential data, employee IDs, passports, contracts and etc. ",
0,Russell Finex,publication date: 2023-03-18,added: 2023-03-10,www.russellfinex.com,United Kingdom,👁️ views: 41867,,"Private and personal confidential data, passports, financial information.",
0,Secure Wrap,publication date: 2023-03-19,added: 2023-03-10,www.securewrap.com,United States,👁️ views: 41800,,"Private and personal confidential data, financial information. ",
0,Leemock,publication date: 2023-03-20,added: 2023-03-10,www.leemock.com,United States,👁️ views: 45373,,"Private and personal confidential data, financial information, contracts and etc. ",
0,Real Pro,publication date: 2023-03-20,added: 2023-03-10,www.realpro.com,United States,👁️ views: 41251,,"Private and personal confidential data, financial information, contracts and etc. ",
0,Oakland,publication date: 2023-03-04,added: 2023-03-01,www.oaklandca.gov,United States,👁️ views: 42953,,"Private and personal confidential data, financial information. IDs, passports, employee full info, human rights violation information. ",Human rights violation information
0,InPro electric,publication date: 2023-02-25,added: 2023-02-21,www.inpro-electric.de,Germany,👁️ views: 44916,,"Private and personal confidential data, a lot of technical documentation, IDs, passports, agreements. For now partially published compressed 8gb with 50 passports, If there no reaction full dump will be uploaded.",technical documents and agreements
0,Energie Pool Schweiz,publication date: 2023-02-20,added: 2023-02-14,www.energie-pool.ch," Zurich, Switzerland",👁️ views: 49938,,"Private and personal confidential data, IDs, passports, agreements, employee and client documents. ",agreements
0,A10,publication date: 2023-02-14,added: 2023-02-09,www.a10networks.com," California, United States",👁️ views: 47565,,"Private and personal confidential data, a lot of technical documentation, agreements, employee and client documents. ",technical documents and agreements
0,Microgame SpA,publication date: 2023-02-15,added: 2023-02-09,www.microgame.it,Italy,👁️ views: 47366,,"Private and personal confidential data, a lot of ID, credit cards, clients documents, agreements. ",agreements
0,ACS,publication date: 2023-02-14,added: 2023-02-06,www.acscm.com," Verona, Wisconsin, United States",👁️ views: 48050,,"Private and personal confidential data, agreements, employee and client documents, a lot of technical documentation. ",technical documents and agreements
0,Cave Beblenheim,publication date: 2023-02-12,added: 2023-02-06,www.cave-beblenheim.com,France,👁️ views: 47859,,"Private and personal confidential data, agreements, employee and client documents. ",
0,Helicar,publication date: 2023-02-02,added: 2023-01-28,www.helicar.cz,Czech Republic,👁️ views: 50217,,"Private and personal confidential data, a lot of passports, contacts, and identifying documents of employees from different European countries, finance information, agreements. ",
0,Arnold Clark,publication date: 2023-01-17,added: 2023-01-11,www.arnoldclark.com," Edinburgh, United Kingdom",👁️ views: 54772,,"Private and personal data, passports, IDs,confidential contracts, agreements, leasing contracts, finance information and many others.","confidential contracts, agreements, leasing contracts
description
car dealer"
0,DAYTON PROGRESS,publication date: 2023-01-17,added: 2023-01-11,www.daytonprogress.de," Honiley, United Kingdom",👁️ views: 53872,,"Private and personal confidential data,customer documents, stampings schemes, passports, agreements, finance and many others. ","stamping schemes, agreements"
0,CDER,publication date: 2023-01-08,added: 2023-01-01,www.cder.fr," Fere-Champenoise, France",👁️ views: 55925,,"Personal, private data, clients documents, agreements, passports, id and etc.",
0,SUNY Polytechnic Institute,publication date: 2023-01-04,added: 2023-01-01,www.sunypoly.edu," Utica, New York, USA",👁️ views: 55465,,"Private, personal data, SSN, IDs, passports, confident contracts and etc. ",
0,Furetank,publication date: 2023-01-04,added: 2023-01-01,www.furetank.se," Donso, Vaestra Goetaland, Sweden",👁️ views: 57351,,"Personal documents, private data, forms, agreement, contracts, IDs, shipment informaton, piratec incidents records. ","forms, agreements, shipment information, piratec incident reports"
0,Sirius Shipping,publication date: 2023-01-04,added: 2023-01-01,www.siriusshipping.eu," Donso, Vaestra Goetaland, Sweden",👁️ views: 56728,,"Personal documents, private data, forms, agreement,passports, crew lists, contracts, IDs, shipment informaton, ","forms, agreement, crew list, shipment information"
0,H-Hotels,publication date: 2023-01-04,added: 2022-12-18,www.h-hotels.com," Bad Arolsen, Germany",👁️ views: 56503,,"Private, personal data, clients documents, passports, IDs, employee information, customers records and etc.",
0,OPUS IT Services,publication date: 2023-01-04,added: 2022-12-18,www.opusit.com.sg," Singapore, Singapore",👁️ views: 56080,,"Private, personal data, software, source code. ","software, source code"
0,Stratacache,publication date: 2023-01-04,added: 2022-12-16,www.stratacache.com," Dayton, Ohio, United States",👁️ views: 55516,,"Personal, private data, tax forms, employee forms, i-9, w-4, passports, SSN, confidential agreements. ","tax forms, i-9, w-4, confidential agreements"
0,Tarntank Ship Management,publication date: 2023-01-04,added: 2023-01-01,www.tarntank.com,Sweden,👁️ views: 51740,,"Waybills, cargo information, personal documents, private data, contracts, agreements, passports, IDs, ship certificates and etc.","waybills, cargo information, agreemnets, ship certificates"
