,Unnamed: 0,Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_URL_2,True?,Country1,NumViews,,,Industry_Type,Manual Headquarter,Manual Industry Type,Data_Type,Notes
25,0,Rea Magnet Wire,26/9/2023,18/9/2023,www.reawire.com,,FALSE,"Indiana, United States",5336,,,,,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc.",
26,0,First Line,22/9/2023,18/9/2023,www.firstline.co.uk,,FALSE,"Oxfordshire, United Kingdom",5388,,,,,,"Private and personal confidential data, clients and employee documents, IDs, tax, contracts, finance information and etc. ",
27,0,Vucke,22/9/2023,18/9/2023,www.vucke.sk,,FALSE,Slovakia,5161,,,,,,"Private and personal confidential data, employee documents, IDs, passports, HR, finance information and etc. ","Country is Slovakia
Thats an interesting country"
28,0,Carpet One,18/9/2023,13/9/2023,www.stradwickscarpetonenorthbay.com,,FALSE,"Ontario, Canada",6437,,,,"North Bay, Ontario",Retail,"Private and personal confidential data, clients and employee documents, contracts, IDs, finance information and etc. ",
29,0,Dpc & S,18/9/2023,13/9/2023,www.dpconsulting.com,,FALSE,"Arizona, United States",6430,,,,,Non-profit Organization Management,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, projects, finance information and etc.  ",They stole projects from a Non Profit Organization
30,0,Majestic Spice,8/9/2023,5/9/2023,www.majesticspice.com,,FALSE,"California, United States",7887,,,,"
Los Angeles, California",Food Production,"Private and personal confidential data, clients and employee documents, finance information and etc.",
31,0,Bordelon Marine,8/9/2023,5/9/2023,www.bordelonmarine.com,,FALSE,"Louisiana, United States",7898,,,,,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc. ",
32,0,Master Interiors,8/9/2023,5/9/2023,www.masterinteriors.com,,FALSE,"Delaware, United States",7947,,,,"Newark, Delaware",Building Finishing Contractors,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, finance information and etc.",
33,0,Markentrainer Werbeagentur,9/9/2023,5/9/2023,www.micro-automation.de,,FALSE,Germany,7863,,,,,,"Private and personal confidential data, clients and employee documents, HR, IDs, taxes, a lot of technical documentation, finance information and etc.  ",Technical documentation were stolen
34,0,Kikkerland Design,9/9/2023,5/9/2023,www.kikkerland.com,,FALSE,"New York, United States",7853,,,,,,"Private and personal confidential data, clients and employee documents, IDs, taxes, finance information and etc.",
35,0,Firmdale Hotels,5/9/2023,1/9/2023,www.firmdalehotels.com,,FALSE,"London, United Kingdom",8653,,,,,,"Private and personal confidential data, clients and employee documents, contracts, IDs, passports, clients scans, HR, finance information and etc. ",What are client scans?
36,0,"Alfagomma, Argus Fluidhandling Ltd",26/8/2023,22/8/2023,www.alfagomma.com www.hiflex-europe.com,,FALSE," Iowa, United States",10893,,,,,,"Private and personal confidential data, clients and employee documents, contracts, IDs, HR, finance information a lot of technical documentation and etc. For now partially published compressed 10gb. If there no reaction full dump will be uploaded.",technical documentation
37,0,Oneonline,24/8/2023,18/8/2023,www.oneonline.com,,FALSE," Utah, United States",11651,,,,,,"Private and personal confidential data, clients and employee documents, IDs, finance, taxes and etc.",
