,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
23,crosscity.com.au,CROSSCITY MOTORWAY PTY LTD is a private company that has been in the industry for 22 years. The company currently specializes in the Transportation/Trucking/Railroad area.,"06 JUN, 2023 10:33 UTC",27023,Published,United States,Religious Institutions,,,,,,,,,,,,,,,,,
24,floraalpina.ch,"Seminarhotel FloraAlpina, nestled in Vitznau among beautifully designed parkland, the brainchild of landscape gardener Gustav Ammann.","14 MAY, 2023 07:45 UTC",27531,Published,,,,,,,,,,,,,,,,,,,
25,osg.co.jp,"In 1968, OSG Corporation established its very first overseas subsidiary in the United States. Since then, we have built a production, sales and technical support network spanning 33 countries. All of our facilities are optimally located to serve our...","14 APR, 2023 19:57 UTC",34260,Published,United States,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
26,lhh.com.my,"We distribute solely for Philip Morris (Malaysia) Sdn Bhd across Kuala Lumpur, Cheras, Klang, Kuantan and Melaka. Our world-class tobacco brands include Marlboro, Sempoerna and Chesterfield.","07 JUN, 2023 16:18 UTC",30589,Published,United States,Human Resources Services,,,,,,,,,,,,,,,,,
27,ewwanfried.de,"E-Werk Wanfried is a local power supply company with the core areas of grid, sales, power generation and energy services. The company is owned by the von Scharfenberg family in the 5th generation.","07 JUN, 2023 12:26 UTC",29613,Published,Deutschland,Renewables & Environment,,,,,,,,,,,,,,,,,
28,arcc.org,"The mission of ARCC is to provide services, deliver training, and promote innovation to support our regions school districts.","07 JUN, 2023 09:51 UTC",27579,Published,Singapore,Executive Offices,,,,,,,,,,,,,,,,,
29,aluminumsandcastingsfoundry.com,"With satisfied customers all over North America, Mahoney Foundries supplies raw, fully machined, aluminum and brass castings for many applications. Since opening our doors in 1972, we've acquired a reputation for unrivalled service, quality, integrit...","07 JUN, 2023 10:17 UTC",26669,Published,United States,Primary Metal Manufacturing,,,,,,,,,,,,,,,,,
30,metronottevigilanza.it,"Our mission is to address the issue of security at 360 degrees, proposing ourselves to companies, public bodies, small traders and private individuals. We operate in the armed private security sector, with Public Security authorization and thirty yea...","06 JUN, 2023 16:13 UTC",25554,Published,Italia,Sicurezza e investigazioni,,,,,,,,,,,,,,,,,
31,trois-i.com,"Trois I Investissements Industriels Internationaux sa is an independent, family owned holding company focused on long term investments. ‍Established in the late ‘90s in London, Trois I moved to Luxembourg in 2006, with the aim to take advantage of t...","06 JUN, 2023 15:32 UTC",43169,Published,,,,,,,,,,,,,,,,,,,
32,ykk.com,"They are the world's largest zipper manufacturer, also producing other fastening products, architectural products, plastic hardware and industrial machinery. The initials YKK stand for Yoshida Kōgyō Kabushiki gaisha branch in the USA","26 JUL, 2023 06:07 UTC",13317,Published,日本,Textile Manufacturing,,,,,,,,,,,,,,,,,
33,ohiohistory.org,"The Ohio History Fund was created to support the preservation and sharing of Ohio's heritage by funding local, regional, and statewide projects, programs, and events related to the broad sweep of the state's history and pre-history.","26 JUL, 2023 06:15 UTC",16735,Published,United States,"Museums, Historical Sites, and Zoos",,,,,,,,,,,,,,,,,
34,blackjewel l.l.c.,"We give you a unique chance to see the corporation Blackjewel LLC from the inside. This is the third large US coal company so it will be interesting. To your attention more than 500gb of documents, databases, Accounting, Audit, data of all branches...","13 JUL, 2023 13:28 UTC",30034,Published,,,,,,,,,,,,,,,,,,,
35,persingerlaw.com,"Persinger & Persinger, L.C. is a law firm in Charleston, WV with 1 attorneys selected to the Super Lawyers or Rising Stars lists.","01 AUG, 2023 04:24 UTC",13674,Published,United States,Law Practice,,,,,,,,,,,,,,,,,
36,mipe.com,"Mission Petroleum Carriers, Inc is a bulk commodity transport company operating throughout Texas and surrounding states. Mission’s primary focus is the gathering and transportation of crude oil. Based in San Antonio, Texas, Mission has been providing...","04 AUG, 2023 19:47 UTC",15680,Published,,Construction,,,,,,,,,,,,,,,,,
37,eyedoc.com.na,"Emoneko is a Namibian health and eye care company with a vision to improve the lives of Namibians through superior service and care, combined with world-class technology. Established in 2018, Emoneko is the management company overseeing the activit...","14 JUL, 2023 08:22 UTC",23460,Published,,,,,,,,,,,,,,,,,,,
38,wings.travel,"Wings has led the market in managing complex travel and support services worldwide, with particular expertise in developing markets and high-risk destinations.","09 AUG, 2023 10:50 UTC",12590,Published,Singapore,"Physical, Occupational and Speech Therapists",,,,,,,,,,,,,,,,,
39,2plan.com,"Wealth management firm in the UK. Head office administration, technology and regulatory teams provide exceptional support to all financial advisers around the country, enabling them to deliver the best possible service to clients.","09 AUG, 2023 11:17 UTC",12784,Published,United Kingdom,Financial Services,,,,,,,,,,,,,,,,,
40,chula.ac.th,"Currently, the academic administration of the Department of Industrial Engineering, Chulalongkorn University, has changed a lot from the past. to maintain modernity in academic fields and the application of knowledge and techniques to keep pace with...","09 AUG, 2023 12:10 UTC",14295,Published,,,,,,,,,,,,,,,,,,,
41,siampremier.co.th,"Providing legal advice and services to international clients, Siam Premier is a law firm in Thailand housing expert lawyers for all your business needs.","13 AUG, 2023 08:24 UTC",10290,Published,ประเทศไทย,Law Practice,,,,,,,,,,,,,,,,,
42,zain.com,Data leak,"27 AUG, 2023 21:21 UTC",7203,Published,الكويت,Telecommunications,,,,,,,,,,,,,,,,,
43,gsaenz.com.mx,The Company's line of business includes the refining of purchased raw cane sugar and sugar syrup.,"29 AUG, 2023 17:51 UTC",6511,Published,Brasil,Food & Beverages,,,,,,,,,,,,,,,,,
44,motsaot.co.il,Motsaot was founded in 1989 and is the biggest company for portable toilets in Israel.,"29 AUG, 2023 18:14 UTC",6002,Published,,,,,,,,,,,,,,,,,,,
45,michalovich.co.il,Haim Michalovitz Company Management and Entrepreneurship Ltd. is a company that specializes in the execution of prestigious projects in the field of construction.,Not found,5943,Published,,,,,,,,,,,,,,,,,,,
46,glat.zapweb.co.il,"MB Glatt Chicken Mehadrin Ltd. is a company that specializes in kosher fish, poultry and meat processing.",Not found,5755,Published,France,Real Estate,,,,,,,,,,,,,,,,,
47,ipsenlogistics.com,"We are a holding company with interests in the field of international transport services, including industrial export packing.","29 AUG, 2023 17:57 UTC",5782,Published,,,,,,,,,,,,,,,,,,,
48,commercialfluidpower.com,"Commercial Fluid Power is a one stop shop for your fluid power needs. We carry a complete line of materials and offer extensive honing and machining capabilities. And with plants in Dover & North Canton, Ohio as well as Rome, Georgia, we are convenie...","29 AUG, 2023 19:22 UTC",5478,Published,,,,,,,,,,,,,,,,,,,
